Bus,busmap
40684,p670 0
40686,p670 1
40687,p670 1
40688,p670 1
40689,p670 0
40690,p670 0
40691,p670 1
40693,p670 0
40694,p670 1
40695,p670 1
40697,p670 1
40698,p670 1
40699,p670 0
40701,p670 1
40702,p670 1
40703,p670 1
40704,p670 2
40705,p670 2
40706,p670 0
40707,p670 1
40708,p670 1
40710,p670 1
40712,p670 0
40714,p670 0
40715,p670 0
40716,p670 0
40717,p670 0
40718,p670 0
40719,p670 2
40720,p670 0
40721,p670 1
40722,p670 1
40723,p670 1
40724,p670 1
40725,p670 2
40726,p670 1
40727,p670 1
40728,p670 1
40730,p670 0
40731,p670 1
40732,p670 1
40733,p670 1
40734,p670 0
40736,p670 1
40737,p670 1
40738,p670 0
40739,p670 1
40741,p670 1
40742,p670 2
40743,p670 1
40745,p670 0
40746,p670 1
40747,p670 0
40748,p670 1
40749,p670 1
40750,p670 1
40752,p670 1
40753,p670 1
40755,p670 1
40756,p670 1
40757,p670 1
40758,p670 0
40759,p670 1
40760,p670 0
40761,p670 1
40762,p670 0
40763,p670 1
40764,p670 1
40765,p670 2
40766,p670 1
40767,p670 1
40769,p670 1
40770,p670 2
40771,p670 1
40772,p670 1
40773,p670 1
40775,p670 2
40776,p670 0
40777,p670 0
40778,p670 1
40779,p670 1
40780,p670 1
40781,p670 1
40784,p670 1
40785,p670 1
40786,p670 1
40787,p670 1
40788,p670 1
40789,p670 1
40790,p670 1
40791,p670 1
40792,p670 2
40793,p670 0
40794,p670 0
40796,p670 1
40797,p670 1
40798,p670 1
40799,p670 2
40800,p670 0
40801,p670 0
40802,p670 1
40803,p670 1
40804,p670 1
40805,p670 0
40806,p670 2
40807,p670 1
40808,p670 1
40809,p670 2
40810,p670 1
40811,p670 1
40812,p670 1
40813,p670 1
40814,p670 2
40815,p670 1
40816,p670 1
40817,p670 2
40818,p670 0
40819,p670 1
40820,p670 0
40821,p670 0
40823,p670 0
40825,p670 0
40826,p670 0
40828,p670 1
40830,p670 0
40831,p670 0
40832,p670 1
40833,p670 1
40834,p670 1
40835,p670 0
40836,p670 3
40837,p670 1
40838,p670 1
40839,p670 1
40840,p670 1
40842,p670 1
40843,p670 0
40847,p670 2
40849,p670 1
40850,p670 1
40851,p670 0
40852,p670 0
40853,p670 1
40854,p670 2
40856,p670 1
40857,p670 0
40858,p670 1
40860,p670 0
40861,p670 2
40863,p670 1
40864,p670 1
40865,p670 0
40866,p670 2
40867,p670 1
40868,p670 0
40870,p670 1
40871,p670 0
40872,p670 2
40873,p670 0
40874,p670 1
40875,p670 2
40876,p670 1
40877,p670 1
40878,p670 1
40879,p670 0
40880,p670 1
40881,p670 1
40882,p670 0
40884,p670 0
40885,p670 1
40886,p670 1
40887,p670 2
40888,p670 0
40889,p670 1
40890,p670 0
40891,p670 0
40892,p670 1
40893,p670 0
40895,p670 1
40896,p670 1
40897,p670 2
40900,p670 1
40901,p670 1
40902,p670 0
40903,p670 1
40904,p670 0
40905,p670 1
40906,p670 2
40907,p670 1
40908,p670 2
40909,p670 1
50022,p670 2
50023,p670 2
50024,p670 2
50025,p670 2
50026,p670 2
50027,p670 3
50028,p670 3
50029,p670 3
50030,p670 3
50031,p670 3
50032,p670 3
50033,p670 3
50034,p670 3
50035,p670 3
50036,p670 3
50037,p670 3
50038,p670 3
50039,p670 3
50040,p670 3
